Offset-Description                                                                   
0000 - Pointer           DE863300 : P->028DEF14        DE8673C8 : P->028DEF14        
0C60 - 4 Bytes           DE863F60 : 0                  DE868028 : 0                  
0C64 - 4 Bytes           DE863F64 : 0                  DE86802C : 0                  
0C68 - 4 Bytes           DE863F68 : 0                  DE868030 : 0                  
0C6C - 4 Bytes           DE863F6C : 0                  DE868034 : 0                  
0C70 - 4 Bytes           DE863F70 : 0                  DE868038 : 0                  
0C74 - 4 Bytes           DE863F74 : 0                  DE86803C : 0                  
0C78 - 4 Bytes           DE863F78 : 0                  DE868040 : 0                  
0C7C - 4 Bytes           DE863F7C : 0                  DE868044 : 0                  
0C80 - 4 Bytes           DE863F80 : 0                  DE868048 : 0                  
0C84 - 4 Bytes           DE863F84 : 0                  DE86804C : 0                  
0C88 - 4 Bytes           DE863F88 : 0                  DE868050 : 0                  
0C8C - 4 Bytes           DE863F8C : 0                  DE868054 : 0                  
0C90 - 4 Bytes           DE863F90 : 0                  DE868058 : 0                  
0C94 - 4 Bytes           DE863F94 : 0                  DE86805C : 0                  
0C98 - 4 Bytes           DE863F98 : 0                  DE868060 : 0                  
0C9C - 4 Bytes           DE863F9C : 0                  DE868064 : 0                  
0CA0 - 4 Bytes           DE863FA0 : 0                  DE868068 : 0                  
0CA4 - 4 Bytes           DE863FA4 : 0                  DE86806C : 0                  
0CA8 - 4 Bytes           DE863FA8 : 0                  DE868070 : 0                  
0CAC - 4 Bytes           DE863FAC : 0                  DE868074 : 0                  
0CB0 - 4 Bytes           DE863FB0 : 0                  DE868078 : 0                  
0CB4 - 4 Bytes           DE863FB4 : 0                  DE86807C : 0                  
0CB8 - 4 Bytes           DE863FB8 : 0                  DE868080 : 0                  
0CBC - 4 Bytes           DE863FBC : 0                  DE868084 : 0                  
0CC0 - 4 Bytes           DE863FC0 : 0                  DE868088 : 0                  
0CC4 - 4 Bytes           DE863FC4 : 0                  DE86808C : 0                  
0CC8 - 4 Bytes           DE863FC8 : 0                  DE868090 : 0                  
0CCC - 4 Bytes           DE863FCC : 0                  DE868094 : 0                  
0CD0 - 4 Bytes           DE863FD0 : 0                  DE868098 : 0                  
0CD4 - 4 Bytes           DE863FD4 : 0                  DE86809C : 0                  
0CD8 - 4 Bytes           DE863FD8 : 0                  DE8680A0 : 0                  
0CDC - 4 Bytes           DE863FDC : 0                  DE8680A4 : 0                  
0CE0 - 4 Bytes           DE863FE0 : 0                  DE8680A8 : 0                  
0CE4 - 4 Bytes           DE863FE4 : 0                  DE8680AC : 0                  
0CE8 - 4 Bytes           DE863FE8 : 0                  DE8680B0 : 0                  
0CEC - 4 Bytes           DE863FEC : 0                  DE8680B4 : 0                  
0CF0 - 4 Bytes           DE863FF0 : 0                  DE8680B8 : 0                  
0CF4 - 4 Bytes           DE863FF4 : 0                  DE8680BC : 0                  
0CF8 - 4 Bytes           DE863FF8 : 0                  DE8680C0 : 0                  
0CFC - 4 Bytes           DE863FFC : 0                  DE8680C4 : 0                  
0D00 - 4 Bytes           DE864000 : 0                  DE8680C8 : 0                  
0D04 - 4 Bytes           DE864004 : 0                  DE8680CC : 0                  
0D08 - 4 Bytes           DE864008 : 0                  DE8680D0 : 0                  
0D0C - 4 Bytes           DE86400C : 0                  DE8680D4 : 0                  
0D10 - 4 Bytes           DE864010 : 0                  DE8680D8 : 0                  
0D14 - 4 Bytes           DE864014 : 0                  DE8680DC : 0                  
0D18 - 4 Bytes           DE864018 : 0                  DE8680E0 : 0                  
0D1C - 4 Bytes           DE86401C : 0                  DE8680E4 : 0                  
0D20 - 4 Bytes           DE864020 : 0                  DE8680E8 : 0                  
0D24 - 4 Bytes           DE864024 : 0                  DE8680EC : 0                  
0D28 - 4 Bytes           DE864028 : 0                  DE8680F0 : 0                  
0D2C - 4 Bytes           DE86402C : 0                  DE8680F4 : 0                  
0D30 - 4 Bytes           DE864030 : 0                  DE8680F8 : 0                  
0D34 - 4 Bytes           DE864034 : 0                  DE8680FC : 0                  
0D38 - 4 Bytes           DE864038 : 0                  DE868100 : 0                  
0D3C - 4 Bytes           DE86403C : 0                  DE868104 : 0                  
0D40 - 4 Bytes           DE864040 : 0                  DE868108 : 0                  
0D44 - 4 Bytes           DE864044 : 0                  DE86810C : 0                  
0D48 - 4 Bytes           DE864048 : 0                  DE868110 : 0                  
0D4C - 4 Bytes           DE86404C : 0                  DE868114 : 0                  
0D50 - 4 Bytes           DE864050 : 0                  DE868118 : 0                  
0D54 - 4 Bytes           DE864054 : 0                  DE86811C : 0                  
0D58 - 4 Bytes           DE864058 : 0                  DE868120 : 0                  
0D5C - 4 Bytes           DE86405C : 0                  DE868124 : 0                  
0D60 - 4 Bytes           DE864060 : 0                  DE868128 : 0                  
0D64 - 4 Bytes           DE864064 : 0                  DE86812C : 0                  
0D68 - 4 Bytes           DE864068 : 0                  DE868130 : 0                  
0D6C - 4 Bytes           DE86406C : 0                  DE868134 : 0                  
0D70 - 4 Bytes           DE864070 : 0                  DE868138 : 0                  
0D74 - 4 Bytes           DE864074 : 0                  DE86813C : 0                  
0D78 - 4 Bytes           DE864078 : 0                  DE868140 : 0                  
0D7C - 4 Bytes           DE86407C : 0                  DE868144 : 0                  
0D80 - 4 Bytes           DE864080 : 0                  DE868148 : 0                  
0D84 - 4 Bytes           DE864084 : 0                  DE86814C : 0                  
0D88 - 4 Bytes           DE864088 : 0                  DE868150 : 0                  
0D8C - 4 Bytes           DE86408C : 0                  DE868154 : 0                  
0D90 - 4 Bytes           DE864090 : 0                  DE868158 : 0                  
0D94 - 4 Bytes           DE864094 : 0                  DE86815C : 0                  
0D98 - 4 Bytes           DE864098 : 0                  DE868160 : 0                  
0D9C - 4 Bytes           DE86409C : 0                  DE868164 : 0                  
0DA0 - 4 Bytes           DE8640A0 : 0                  DE868168 : 0                  
0DA4 - 4 Bytes           DE8640A4 : 0                  DE86816C : 0                  
0DA8 - 4 Bytes           DE8640A8 : 0                  DE868170 : 0                  
0DAC - 4 Bytes           DE8640AC : 0                  DE868174 : 0                  
0DB0 - 4 Bytes           DE8640B0 : 0                  DE868178 : 0                  
0DB4 - 4 Bytes           DE8640B4 : 0                  DE86817C : 0                  
0DB8 - 4 Bytes           DE8640B8 : 0                  DE868180 : 0                  
0DBC - 4 Bytes           DE8640BC : 0                  DE868184 : 0                  
0DC0 - 4 Bytes           DE8640C0 : 0                  DE868188 : 0                  
0DC4 - 4 Bytes           DE8640C4 : 0                  DE86818C : 0                  
0DC8 - 4 Bytes           DE8640C8 : 0                  DE868190 : 0                  
0DCC - 4 Bytes           DE8640CC : 0                  DE868194 : 0                  
0DD0 - 4 Bytes           DE8640D0 : 0                  DE868198 : 0                  
0DD4 - 4 Bytes           DE8640D4 : 0                  DE86819C : 0                  
0DD8 - 4 Bytes           DE8640D8 : 0                  DE8681A0 : 0                  
0DDC - 4 Bytes           DE8640DC : 0                  DE8681A4 : 0                  
0DE0 - 4 Bytes           DE8640E0 : 0                  DE8681A8 : 0                  
0DE4 - 4 Bytes           DE8640E4 : 0                  DE8681AC : 0                  
0DE8 - 4 Bytes           DE8640E8 : 0                  DE8681B0 : 0                  
0DEC - 4 Bytes           DE8640EC : 0                  DE8681B4 : 0                  
0DF0 - 4 Bytes           DE8640F0 : 0                  DE8681B8 : 0                  
0DF4 - 4 Bytes           DE8640F4 : 0                  DE8681BC : 0                  
0DF8 - 4 Bytes           DE8640F8 : 0                  DE8681C0 : 0                  
0DFC - 4 Bytes           DE8640FC : 0                  DE8681C4 : 0                  
0E00 - 4 Bytes           DE864100 : 0                  DE8681C8 : 0                  
0E04 - 4 Bytes           DE864104 : 0                  DE8681CC : 0                  
0E08 - 4 Bytes           DE864108 : 0                  DE8681D0 : 0                  
0E0C - 4 Bytes           DE86410C : 0                  DE8681D4 : 0                  
0E10 - 4 Bytes           DE864110 : 0                  DE8681D8 : 0                  
0E14 - 4 Bytes           DE864114 : 0                  DE8681DC : 0                  
0E18 - 4 Bytes           DE864118 : 0                  DE8681E0 : 0                  
0E1C - 4 Bytes           DE86411C : 0                  DE8681E4 : 0                  
0E20 - 4 Bytes           DE864120 : 0                  DE8681E8 : 0                  
0E24 - 4 Bytes           DE864124 : 0                  DE8681EC : 0                  
0E28 - 4 Bytes           DE864128 : 0                  DE8681F0 : 0                  
0E2C - 4 Bytes           DE86412C : 0                  DE8681F4 : 0                  
0E30 - 4 Bytes           DE864130 : 0                  DE8681F8 : 0                  
0E34 - 4 Bytes           DE864134 : 0                  DE8681FC : 0                  
0E38 - 4 Bytes           DE864138 : 0                  DE868200 : 0                  
0E3C - 4 Bytes           DE86413C : 0                  DE868204 : 0                  
0E40 - 4 Bytes           DE864140 : 0                  DE868208 : 0                  
0E44 - 4 Bytes           DE864144 : 0                  DE86820C : 0                  
0E48 - 4 Bytes           DE864148 : 0                  DE868210 : 0                  
0E4C - 4 Bytes           DE86414C : 0                  DE868214 : 0                  
0E50 - 4 Bytes           DE864150 : 0                  DE868218 : 0                  
0E54 - 4 Bytes           DE864154 : 0                  DE86821C : 0                  
0E58 - 4 Bytes           DE864158 : 0                  DE868220 : 0                  
0E5C - 4 Bytes           DE86415C : 0                  DE868224 : 0                  
0E60 - 4 Bytes           DE864160 : 0                  DE868228 : 0                  
0E64 - 4 Bytes           DE864164 : 0                  DE86822C : 0                  
0E68 - 4 Bytes           DE864168 : 0                  DE868230 : 0                  
0E6C - 4 Bytes           DE86416C : 0                  DE868234 : 0                  
0E70 - 4 Bytes           DE864170 : 0                  DE868238 : 0                  
0E74 - 4 Bytes           DE864174 : 0                  DE86823C : 0                  
0E78 - 4 Bytes           DE864178 : 0                  DE868240 : 0                  
0E7C - 4 Bytes           DE86417C : 0                  DE868244 : 0                  
0E80 - 4 Bytes           DE864180 : 0                  DE868248 : 0                  
0E84 - 4 Bytes           DE864184 : 0                  DE86824C : 0                  
0E88 - 4 Bytes           DE864188 : 0                  DE868250 : 0                  
0E8C - 4 Bytes           DE86418C : 0                  DE868254 : 0                  
0E90 - 4 Bytes           DE864190 : 0                  DE868258 : 0                  
0E94 - 4 Bytes           DE864194 : 0                  DE86825C : 0                  
0E98 - 4 Bytes           DE864198 : 0                  DE868260 : 0                  
0E9C - 4 Bytes           DE86419C : 0                  DE868264 : 0                  
0EA0 - 4 Bytes           DE8641A0 : 0                  DE868268 : 0                  
0EA4 - 4 Bytes           DE8641A4 : 0                  DE86826C : 0                  
0EA8 - 4 Bytes           DE8641A8 : 0                  DE868270 : 0                  
0EAC - 4 Bytes           DE8641AC : 0                  DE868274 : 0                  
0EB0 - 4 Bytes           DE8641B0 : 0                  DE868278 : 0                  
0EB4 - 4 Bytes           DE8641B4 : 0                  DE86827C : 0                  
0EB8 - 4 Bytes           DE8641B8 : 0                  DE868280 : 0                  
0EBC - 4 Bytes           DE8641BC : 0                  DE868284 : 0                  
0EC0 - 4 Bytes           DE8641C0 : 0                  DE868288 : 0                  
0EC4 - 4 Bytes           DE8641C4 : 0                  DE86828C : 0                  
0EC8 - 4 Bytes           DE8641C8 : 0                  DE868290 : 0                  
0ECC - 4 Bytes           DE8641CC : 0                  DE868294 : 0                  
0ED0 - 4 Bytes           DE8641D0 : 0                  DE868298 : 0                  
0ED4 - 4 Bytes           DE8641D4 : 0                  DE86829C : 0                  
0ED8 - 4 Bytes           DE8641D8 : 0                  DE8682A0 : 0                  
0EDC - 4 Bytes           DE8641DC : 0                  DE8682A4 : 0                  
0EE0 - 4 Bytes           DE8641E0 : 0                  DE8682A8 : 0                  
0EE4 - 4 Bytes           DE8641E4 : 0                  DE8682AC : 0                  
0EE8 - 4 Bytes           DE8641E8 : 0                  DE8682B0 : 0                  
0EEC - 4 Bytes           DE8641EC : 0                  DE8682B4 : 0                  
0EF0 - 4 Bytes           DE8641F0 : 0                  DE8682B8 : 0                  
0EF4 - 4 Bytes           DE8641F4 : 0                  DE8682BC : 0                  
0EF8 - 4 Bytes           DE8641F8 : 0                  DE8682C0 : 0                  
0EFC - 4 Bytes           DE8641FC : 0                  DE8682C4 : 0                  
0F00 - 4 Bytes           DE864200 : 0                  DE8682C8 : 0                  
0F04 - 4 Bytes           DE864204 : 0                  DE8682CC : 0                  
0F08 - 4 Bytes           DE864208 : 0                  DE8682D0 : 0                  
0F0C - 4 Bytes           DE86420C : 0                  DE8682D4 : 0                  
0F10 - 4 Bytes           DE864210 : 0                  DE8682D8 : 0                  
0F14 - 4 Bytes           DE864214 : 0                  DE8682DC : 0                  
0F18 - 4 Bytes           DE864218 : 0                  DE8682E0 : 0                  
0F1C - 4 Bytes           DE86421C : 0                  DE8682E4 : 0                  
0F20 - 4 Bytes           DE864220 : 0                  DE8682E8 : 0                  
0F24 - 4 Bytes           DE864224 : 0                  DE8682EC : 0                  
0F28 - 4 Bytes           DE864228 : 0                  DE8682F0 : 0                  
0F2C - 4 Bytes           DE86422C : 0                  DE8682F4 : 0                  
0F30 - 4 Bytes           DE864230 : 0                  DE8682F8 : 0                  
0F34 - 4 Bytes           DE864234 : 0                  DE8682FC : 0                  
0F38 - 4 Bytes           DE864238 : 0                  DE868300 : 0                  
0F3C - 4 Bytes           DE86423C : 0                  DE868304 : 0                  
0F40 - 4 Bytes           DE864240 : 0                  DE868308 : 0                  
0F44 - 4 Bytes           DE864244 : 0                  DE86830C : 0                  
0F48 - 4 Bytes           DE864248 : 0                  DE868310 : 0                  
0F4C - 4 Bytes           DE86424C : 0                  DE868314 : 0                  
0F50 - 4 Bytes           DE864250 : 0                  DE868318 : 0                  
0F54 - 4 Bytes           DE864254 : 0                  DE86831C : 0                  
0F58 - 4 Bytes           DE864258 : 0                  DE868320 : 0                  
0F5C - 4 Bytes           DE86425C : 0                  DE868324 : 0                  
0F60 - 4 Bytes           DE864260 : 0                  DE868328 : 0                  
0F64 - 4 Bytes           DE864264 : 0                  DE86832C : 0                  
0F68 - 4 Bytes           DE864268 : 0                  DE868330 : 0                  
0F6C - 4 Bytes           DE86426C : 0                  DE868334 : 0                  
0F70 - 4 Bytes           DE864270 : 0                  DE868338 : 0                  
0F74 - 4 Bytes           DE864274 : 0                  DE86833C : 0                  
0F78 - 4 Bytes           DE864278 : 0                  DE868340 : 0                  
0F7C - 4 Bytes           DE86427C : 0                  DE868344 : 0                  
0F80 - 4 Bytes           DE864280 : 0                  DE868348 : 0                  
0F84 - 4 Bytes           DE864284 : 0                  DE86834C : 0                  
0F88 - 4 Bytes           DE864288 : 0                  DE868350 : 0                  
0F8C - 4 Bytes           DE86428C : 0                  DE868354 : 0                  
0F90 - 4 Bytes           DE864290 : 0                  DE868358 : 0                  
0F94 - 4 Bytes           DE864294 : 0                  DE86835C : 0                  
0F98 - 4 Bytes           DE864298 : 0                  DE868360 : 0                  
0F9C - 4 Bytes           DE86429C : 0                  DE868364 : 0                  
0FA0 - 4 Bytes           DE8642A0 : 0                  DE868368 : 0                  
0FA4 - 4 Bytes           DE8642A4 : 0                  DE86836C : 0                  
0FA8 - 4 Bytes           DE8642A8 : 0                  DE868370 : 0                  
0FAC - 4 Bytes           DE8642AC : 0                  DE868374 : 0                  
0FB0 - 4 Bytes           DE8642B0 : 0                  DE868378 : 0                  
0FB4 - 4 Bytes           DE8642B4 : 0                  DE86837C : 0                  
0FB8 - 4 Bytes           DE8642B8 : 0                  DE868380 : 0                  
0FBC - 4 Bytes           DE8642BC : 0                  DE868384 : 0                  
0FC0 - 4 Bytes           DE8642C0 : 0                  DE868388 : 0                  
0FC4 - 4 Bytes           DE8642C4 : 0                  DE86838C : 0                  
0FC8 - 4 Bytes           DE8642C8 : 0                  DE868390 : 0                  
0FCC - 4 Bytes           DE8642CC : 0                  DE868394 : 0                  
0FD0 - 4 Bytes           DE8642D0 : 0                  DE868398 : 0                  
0FD4 - 4 Bytes           DE8642D4 : 0                  DE86839C : 0                  
0FD8 - 4 Bytes           DE8642D8 : 0                  DE8683A0 : 0                  
0FDC - 4 Bytes           DE8642DC : 0                  DE8683A4 : 0                  
0FE0 - 4 Bytes           DE8642E0 : 0                  DE8683A8 : 0                  
0FE4 - 4 Bytes           DE8642E4 : 0                  DE8683AC : 0                  
0FE8 - 4 Bytes           DE8642E8 : 0                  DE8683B0 : 0                  
0FEC - 4 Bytes           DE8642EC : 0                  DE8683B4 : 0                  
0FF0 - 4 Bytes           DE8642F0 : 0                  DE8683B8 : 0                  
0FF4 - 4 Bytes           DE8642F4 : 0                  DE8683BC : 0                  
0FF8 - 4 Bytes           DE8642F8 : 0                  DE8683C0 : 0                  
0FFC - 4 Bytes           DE8642FC : 0                  DE8683C4 : 0                  
